Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance,2015 Governance,2016 Governance,2017 Governance,2018 Governance,2019 Governance,2020 Governance,GDP PER CAPITA PER CAPITA 2000,GDP PER CAPITA PER CAPITA 2001,GDP PER CAPITA 2002,GDP PER CAPITA 2003,GDP PER CAPITA 2004,GDP PER CAPITA 2005,GDP PER CAPITA 2006,GDP PER CAPITA 2007,GDP PER CAPITA 2008,GDP PER CAPITA 2009,GDP PER CAPITA 2010,GDP PER CAPITA 2011,GDP PER CAPITA 2012,GDP PER CAPITA 2013,GDP PER CAPITA 2014,GDP PER CAPITA 2015,GDP PER CAPITA 2016,GDP PER CAPITA 2017,GDP PER CAPITA 2018,GDP PER CAPITA 2019,GDP PER CAPITA 2020,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Continent_Name,Continent_Code,Country_Number,coun_code,GNI per capita 2000,GNI per capita 2001,GNI per capita 2002,GNI per capita 2003,GNI per capita 2004,GNI per capita 2005,GNI per capita 2006,GNI per capita 2007,GNI per capita 2008,GNI per capita 2009,GNI per capita 2010,GNI per capita 2011,GNI per capita 2012,GNI per capita 2013,GNI per capita 2014,GNI per capita 2015,GNI per capita 2016,GNI per capita 2017,GNI per capita 2018,GNI per capita 2019,gsia_region
Serbia,45.53,45.26,44.95,46.44,46.55,69.37,46.14,69.13,78.67,57.49,55.2,,,,,,,,,,,,,,43.44,42.76,44.03,46.85,45.93,45.84,50.72,47.13,47.83,48.43,47.99,45.74,42.07,52.46,47.13,23.98,32.27,35.1,53.15,36.37,44.43,50.79,50.07,40.98,35.97,49.49,50.5,53.46,43.24,39.13,43.57,46.49,47.56,45.92,48.03,47.24,52.8,46.2,56.24,50.76,54.34,55.25,6021.72,6484.77,7224.59,7637.93,8480.53,9181.71,10195.53,11222.62,12632.04,12543.17,12808.06,13746.9,13933.92,14629.03,14659.61,14928.41,15858.04,16611.02,17736.01,18929.88,19230.63,SRB,"Population, total",SP.POP.TOTL,7516346,7503433,7496522,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6908224,Europe,EU,688,SRB,..,..,..,..,..,..,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,Europe
Singapore,52.82,54.44,55.67,55.87,56.23,69.64,56.36,81.78,87.04,64.23,58.1,,,,,,,,,,,,,,47.43,46.02,44.75,46.47,46.05,47.8,50.32,30.11,30.81,26.34,26.9,23.58,24.92,28.64,30.11,35.29,34.35,39.34,50.7,38.73,38.96,50.18,50.93,33.89,36.26,52.78,53.67,57.78,66.08,58.05,62.27,60.73,63.4,63.62,69.38,55.96,55.04,50.74,51.71,51.97,58.06,56.83,43833.22,43136.43,45120.41,48756.56,54301.7,58717.22,63910.08,68628.38,67576.86,66149,75294.36,80052.39,82064.96,83001.79,84423.19,86974.75,89417.35,95350.44,100581.16,102573.4,98525.95,SGP,"Population, total",SP.POP.TOTL,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,Asia,AS,702,SGP,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Global
Slovak Republic,60.09,61.77,62.84,64.83,66.28,74.46,66.62,74.45,85.42,70.6,68.3,56.5,55.3,54.7,60.5,64,64.64,63.17,62.5,57.83,57.69,56.04,56.61,52.69,47.43,46.02,44.75,46.47,46.05,47.8,50.32,30.11,30.81,26.34,26.9,23.58,24.92,28.64,30.11,35.29,34.35,39.34,50.7,38.73,38.96,50.18,50.93,33.89,36.26,52.78,53.67,57.78,66.08,58.05,62.27,60.73,63.4,63.62,69.38,55.96,55.04,50.74,51.71,51.97,58.06,56.83,11381.51,12391.35,13312.2,14166.5,15213.73,16639.39,18888.76,21196.62,23725.86,23097.57,25209.35,26082.76,26967.13,28002.5,28996.87,29919.66,29659.37,30077.85,31505.06,32557.19,31832.39,SVK,"Population, total",SP.POP.TOTL,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,Europe,EU,703,SVK,UM,UM,UM,UM,UM,UM,UM,H,H,H,H,H,H,H,H,H,H,H,H,H,Europe
Slovenia,56.55,58.16,61.04,61.11,62.15,64.95,62.25,76.43,88.98,67.57,72,54.2,48.1,48.1,51.4,55.6,60.98,59.19,60.99,56.87,56.55,50.54,44.9,41.91,49.19,50.78,54.8,53.71,54.31,53.81,55.91,47.89,48.55,52.92,44.03,43.67,42.98,49.33,47.89,32.25,37.21,46.33,37.43,49.34,43.12,54.52,60.81,34.56,39.18,54.68,53.38,59.57,62.96,59.9,68.02,61.17,61.9,59.05,59.39,46.55,52.37,55.79,61.05,62.5,64.31,68.12,18009.06,18956.39,20241.53,21090.62,22742.09,23852.64,25686.03,27536.68,29604.29,27558,27848.13,28931.38,29042.82,29973.7,30870.02,31628.25,33936.04,36505.68,38915.64,41193.84,39593.31,SVN,"Population, total",SP.POP.TOTL,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2100126,Europe,EU,705,SVN,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Europe
South Africa,33.76,36.17,34.47,34.06,34.58,50.79,34.55,53.51,70.52,44.73,43.1,49.5,51.2,52.9,56.6,53.6,56.7,54.04,54.63,53.76,56.17,40.61,48.25,45.67,40.95,38.24,36.53,39.16,39.2,38.79,39.92,44.21,44.68,37.4,47.35,45.23,48.29,50.73,44.21,31.79,36.35,37.08,52.73,39.71,35.48,35.1,35.91,31.96,42.61,31.99,31.62,31.09,41.42,32.55,35.73,34.78,42.44,37.21,41.59,46.29,46.27,36.67,40.33,37.02,37.12,40.69,7714.91,7989.76,8310.76,8608.73,9131.27,9790.64,10518.42,11233.93,11661.28,11409.57,11721.55,12172.41,12057.58,12450.99,12521.13,12552.34,12591.59,12701.35,12931.12,13009.67,12095.86,ZAF,"Population, total",SP.POP.TOTL,44967713,45571272,46150913,46719203,47291610,47880595,48489464,49119766,49779472,50477013,51216967,52003759,52832659,53687125,54544184,55386369,56207649,57009751,57792520,58558267,59308690,Africa,AF,710,ZAF,UM,LM,LM,LM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,Global
Spain,55.92,56.03,57.16,58.49,59.73,70.62,60.31,79.79,88.91,78.39,74.3,50.1,53.2,51.8,54.4,54.2,59.18,60.37,57.34,52.63,56.14,48.19,48.97,46.03,45.92,46.38,46.94,48.1,48.9,48.46,51.83,38.65,41.48,44.07,43.85,44.48,44.18,45.53,38.65,37.31,41.41,48.97,52.3,49.2,51.96,55.12,58.13,25.47,39.59,49.51,50.57,56.74,48.07,45.7,45.19,45.17,47.58,42.63,46.5,46.04,49.26,49.05,52.84,53.87,55.7,58.44,21593.65,22959.1,24371.6,25020.31,26121.97,27606.93,30679.12,32430.12,33263.27,32116,31706.88,31867.97,31720.12,32434,33525.74,34903.13,37286.21,39528.93,40720.19,42185.59,38334.61,ESP,"Population, total",SP.POP.TOTL,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47133521,47351567,Europe,EU,724,ESP,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Europe
Sri Lanka,49.73,49.64,53.67,54.55,55.48,63.71,55.72,53.88,65.55,60.61,39,,,,,,,,,,,,,,39.21,37,38.99,40.24,41.93,40.95,46.25,35.46,33.65,36.51,33.31,34.88,35.63,39.82,35.46,36.75,39.59,36.79,51.48,42.07,50.8,37.92,37.38,28.27,41.79,45.36,45.18,48.78,36.51,29.75,31.62,33.48,37.92,33.97,37.97,47.74,47.47,52.06,53.43,52.59,47.91,53.9,4339.68,4335.37,4542.34,4860.34,5218.68,5670.96,6242.37,6795.34,7287.59,7550.29,8194.27,9007.73,10315.18,10852.06,11256.86,11557.49,12224.22,12584.1,13169.09,13622.86,13225.41,LKA,"Population, total",SP.POP.TOTL,18777606,18911727,19062476,19224036,19387153,19544988,19695977,19842044,19983984,20123508,20261738,20398496,20425000,20585000,20778000,20970000,21203000,21444000,21670000,21803000,21919000,Asia,AS,144,LKA,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,UM,LM,Global
Sudan,43.81,43.31,43.73,44.68,45.18,47.09,46,24.64,42.25,51.49,34.8,,,,,,,,,,,,,,35.12,35.36,37.54,40.73,40.89,38.52,39,52.31,52.39,48.95,52.94,54.82,53.91,49.31,52.31,36.03,43.19,47.74,39.91,49.15,51.14,27.8,27.2,36.57,35.61,40.08,34.9,30.71,19.83,21.11,24.86,25.22,23.93,20.12,25.71,38.44,40.06,42.81,37.89,36.46,34.53,38.16,1824.61,1931.35,2030.52,2166.79,2247.83,2422.97,2672.27,2976.97,3183.84,3225.06,3289.44,3673.49,3751.12,3716.65,4500.78,4379.62,4503.77,4327.78,4448.84,4362.61,4243.78,SDN,"Population, total",SP.POP.TOTL,27275019,27971077,28704786,29460517,30214189,30949514,31661824,32360619,33060844,33783779,34545014,35349676,36193781,37072555,37977657,38902948,39847433,40813398,41801532,42813237,43849269,Africa,AF,736,SDN,L,L,L,L,L,L,L,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,L,Global
Sweden,66.36,66.09,66.55,67.55,68.45,86.05,68.82,78.09,90.43,80.51,78.7,65.6,66.7,67.4,69.9,68.1,69.37,68.1,71.44,69.91,66.15,74.32,76.28,75.77,54.13,55.54,60.93,60.5,61.34,60.59,62.1,62.92,64.79,67.59,63.55,63.08,63.74,63.12,62.92,40.01,51.51,59.19,38.17,63.79,63.72,58.01,59.66,39.16,39.27,56.63,58.26,61.65,59.68,57.86,70.82,69.26,70.78,66.08,69.5,50.96,55.39,55.45,55.4,52.13,51.08,52.51,29631.16,29940.54,30926.51,31782.08,33830.55,34244.47,37679.7,40855.5,42158.3,40309.11,42256.16,44608.58,45432.43,46312.39,47184.67,49103.13,50430.25,51947.95,53553.31,55068.77,54563.12,SWE,"Population, total",SP.POP.TOTL,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,Europe,EU,752,SWE,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Europe
Switzerland,76.17,77.09,77.18,77.34,77.8,89.09,76.69,87.67,86.93,87.42,81.5,59,58.2,59.4,63.6,65.1,67.61,66.17,65.05,62.09,61.66,61.2,65.42,60.61,52,53.04,54.45,55.35,56.43,56.92,59.44,52.9,53.52,52.38,47.82,47.44,46.96,47.6,52.9,40.66,46.2,51.71,38.83,57.37,63.13,57.2,60.58,39.34,32.33,55.77,57.77,61,54.84,54.31,61.1,64,66.75,62.06,64.73,55.15,56.14,54.31,56.78,56.04,60.45,60.75,36788.69,37913.09,38814.37,38800.87,40302.99,41749.22,46440.74,51145.94,54096.81,53393.3,54900.31,57987.5,59933.6,62225.09,64103.01,66020.2,68105.15,69103.57,71705.61,73114.47,71352.35,CHE,"Population, total",SP.POP.TOTL,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8636896,Europe,EU,756,CHE,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Europe
Tajikistan,35.58,36.68,37.31,38.14,38.31,51.29,38.78,31.34,73.05,47.85,38.2,,,,,,,,,,,,,,42.89,42.01,42.67,43.75,43.81,43.31,44.75,46.51,44.69,42.81,42.94,44.32,43.53,45.43,46.51,46.2,47.68,45.98,53.67,47.98,50.45,49.22,50.07,36.5,44.67,48.25,48.19,47.86,31.7,29.52,37.25,40.38,38.2,36.69,36.62,37.61,39.59,39.36,44.09,40.69,40.15,43.39,1048.59,1155.27,1278.37,1420,1579.25,1705.07,1843.45,2000.15,2155.2,2208.89,2328.46,2496.58,2750.36,3027.81,3303.1,3150.43,3114.9,3252.93,3497.32,3732.87,3858.43,TJK,"Population, total",SP.POP.TOTL,6216329,6318510,6426861,6541550,6662391,6789318,6922590,7062667,7209924,7364752,7527397,7697507,7874838,8059782,8252828,8454019,8663575,8880270,9100847,9321023,9537642,Asia,AS,762,TJK,L,L,L,L,L,L,L,L,L,L,L,L,L,L,LM,LM,LM,L,L,L,Global
Tanzania,51.89,53.43,53.05,51.67,53.73,47.9,54.26,36.19,58.34,50.83,31.1,,,,,,,,,,,,,,41.73,41.7,42.18,43.25,43.12,42.68,43.39,54.25,56.69,53.94,58.27,55.66,55.39,56.18,54.25,45.71,57.81,59.97,49.99,61.36,62.95,33.84,35.51,27.46,31.96,36.2,36.8,35.88,29.59,27.66,21.37,21.97,20.84,21.92,23.43,42.52,42.93,42.84,37.89,41.37,37.91,38.53,1191.28,1258.11,1331.99,1407.39,1510.5,1627.47,1736.73,1851.17,1938.72,1998.3,2088.1,2228.7,2099.43,2194.88,2243.59,2348.44,2479.33,2530.6,2652.39,2772.93,2780.06,TZA,"Population, total",SP.POP.TOTL,33499177,34385849,35334790,36337778,37379766,38450323,39548666,40681416,41853944,43073830,44346532,45673520,47053033,48483132,49960563,51482638,53049231,54660345,56313444,58005461,59734213,Africa,AF,834,TZA,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,LM,Global
Thailand,54.45,53.13,56.74,59.05,59.7,62.15,59.98,52.83,69.54,49.88,45.4,51.7,50.2,54.6,59.8,58.4,58.32,54.51,50.61,48.16,51.91,49.07,48.71,46.76,40.48,40.04,41.6,41.21,41.68,43.79,47.6,34.59,35.16,34.57,35.63,34.97,36.26,41.4,34.59,32.01,36.18,41.91,46.6,44.14,48.26,40.02,37.73,33.67,30.71,34.94,38.49,44.88,38.41,42.63,48.77,44.26,44.27,46.57,51.06,54.42,52.66,49.46,49.79,50.09,53.5,52.39,7302.89,7648.86,8179.4,8863.74,9608.55,10256.33,11024.85,11869.67,12244.82,12191.41,13195.37,13519.13,14870.98,15407.67,15480.21,15822.37,16616.2,17422.95,18530.21,19233.87,18236.18,THA,"Population, total",SP.POP.TOTL,62952639,63539190,64069093,64549867,64995303,65416189,65812540,66182064,66530980,66866834,67195032,67518379,67835969,68144519,68438748,68714519,68971313,69209817,69428454,69625581,69799978,Asia,AS,764,THA,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,Global
Togo,46.56,48.1,46.48,48.05,48.3,36.43,48.66,27.91,46.1,41.78,29.5,,,,,,,,,,,,,,37.72,37.07,37.95,41.73,41.85,42.3,41.53,46.67,43.77,45.33,46.11,46.99,45.74,46,46.67,46.96,55.96,62.87,30.41,65.55,59.38,32.61,32.1,32.14,34.39,33.19,34.94,33.03,23.3,25.78,20.89,26.89,24.89,21.63,26.9,36.48,36.75,37.54,40.28,38.6,43.65,42.35,972.45,974.62,1001.33,1061.19,1052.02,1007.66,1037.7,1025.04,1058.28,1095.26,1144.33,1210.14,1227.16,1275.33,1328.38,1397.33,1954.2,2012.24,2110.83,2211.63,2223.63,TGO,"Population, total",SP.POP.TOTL,4924406,5062571,5197040,5330629,5467770,5611643,5762881,5920360,6083417,6250840,6421674,6595939,6773807,6954721,7137997,7323162,7509952,7698476,7889095,8082359,8278737,Africa,AF,768,TGO,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,Global
Trinidad and Tobago,43.34,43.67,45.14,45.26,46.97,54.25,47.04,52.28,74.34,67.36,47.5,,,,,,,,,,,,,,37.16,36.25,40.52,39.59,38.45,39.55,40.75,46.14,43.29,42.59,39,38.09,39.6,38.51,46.14,34.89,43.06,39.97,43.52,43.03,38.79,37.12,34.63,39.57,28.66,30.58,34.48,41.1,29.72,27.12,34.75,33.68,32.51,33.92,36.16,40.19,41.31,48.76,49.31,48.22,46.72,49.21,14547.24,15431.61,16845.88,19539.4,21550.67,23485.53,27264.77,29196.02,30632.99,29366.36,30528.89,30887.98,30063.33,30059.72,29698.57,27397.23,26389.74,26342.62,26880.64,26920.14,25031.19,TTO,"Population, total",SP.POP.TOTL,1267159,1271627,1277210,1283564,1290115,1296497,1302552,1308450,1314449,1320921,1328144,1336180,1344814,1353708,1362337,1370332,1377563,1384060,1389841,1394969,1399491,North America,,780,TTO,UM,UM,UM,UM,UM,UM,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Global
Tunisia,43.6,43.93,45.15,46.4,47.38,60.58,46.66,58.99,77.28,62.35,46.7,,,,,,,,,,,,,,40.29,38.29,42.25,44.31,43.57,42.52,41.88,30.61,28.89,28.31,27.96,27.69,26.74,28.46,30.61,33.87,45.46,44.86,50.26,46.5,45.25,40.68,43.73,38.01,29.53,46.06,46.57,43.91,48.63,39.55,41.55,47.32,48.47,44.97,44.9,44.77,45.43,46.55,51.59,49.04,47.83,46.89,5978.97,6286.67,6419.87,6795.62,7356.79,7784.8,8362.85,9071.62,9538.45,9798.98,10155.53,10067.91,10217.14,10231.73,10446.07,10208.75,10359.32,10605.29,11022.16,11210.43,10261.69,TUN,"Population, total",SP.POP.TOTL,9708347,9793915,9871261,9945282,10022278,10106778,10201211,10304729,10414425,10525691,10635245,10741872,10846993,10952949,11063195,11179951,11303942,11433438,11565203,11694721,11818618,Africa,AF,788,TUN,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,UM,UM,UM,UM,UM,LM,LM,LM,LM,LM,Global
Turkey,40.47,41.94,43.43,43.89,44.4,60.4,44.8,54.91,67.68,52.96,42.6,55.7,49.8,49.1,49,41.7,46.6,46.47,46.95,47.25,45.54,41.02,40.22,40.76,40.49,40.78,43.03,45.11,44.79,44.4,46.31,37.63,38.59,37.67,36.69,37.02,36.73,40.86,37.63,27.73,32.06,40.14,48.02,41.78,38.87,42.46,38.17,35.92,46.03,35.95,38.66,42.85,45.74,43.81,48.4,51.08,50.93,50.43,53.84,48.49,55.62,55.11,59.98,58.25,54.39,55.1,9633.09,9284.26,9401.23,9689.93,10970.67,12003.85,13730.04,14967.95,16182.48,15609.47,17555.59,19799.12,20772.5,22438.71,24090.24,25753.39,26512.02,27913.82,27942.96,27318.43,28119.45,TUR,"Population, total",SP.POP.TOTL,63240196,64192243,65145357,66089402,67010930,67903461,68756809,69581854,70418612,71321406,72326992,73443254,74651046,75925454,77229262,78529413,79827868,81116451,82340090,83429607,84339067,Europe,EU,792,TUR,UM,LM,LM,LM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,Europe
Turkmenistan,30.29,30.57,31.33,31.81,31.69,38.39,31.75,45.07,70.24,66.1,43.9,,,,,,,,,,,,,,39.74,37.91,38.01,38.9,37.99,38.61,38.99,36.51,37.91,33.55,27.33,25.16,25.32,38.67,36.51,28.68,34.35,37.31,50.41,38.56,30.56,40.87,40.62,30.19,38.75,42.23,39.92,39.24,39.97,33.08,36.15,37.24,37.01,35.55,33.87,47.48,49.24,45,50.02,47.36,53.71,52.6,4275.01,4510.66,4548.02,4736.91,5055.94,5829.43,6588.03,7420.56,8561.58,9021.14,9810.61,11294.97,12057.18,12739.18,13491,13690.61,13862.28,14205.03,15201.78,16195.54,,TKM,"Population, total",SP.POP.TOTL,4516128,4564087,4610018,4655752,4703396,4754652,4810114,4870142,4935765,5007953,5087211,5174076,5267906,5366376,5466324,5565283,5662371,5757667,5850902,5942094,6031187,Asia,AS,795,TKM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,UM,UM,UM,UM,UM,UM,UM,UM,UM,Global
Ukraine,46.68,47.16,47.51,45.62,45.92,58.22,46.31,49.01,79.69,52.87,49.5,44.7,46.1,49.5,54.1,53.3,62.22,56.04,57.1,49.81,50.88,57.49,60.09,60.6,42.19,41.44,44.6,43.02,45.4,44.72,46.69,44.62,46.21,44.6,43.87,44.01,45.25,47.2,44.62,25.01,34.45,39.53,45.29,42.15,41.86,42.42,42.58,25.63,36.86,42.15,41.32,44.4,44.58,44.02,50.34,39.2,50.1,47.76,47.71,47.6,49.36,46.94,47.16,48.85,47.12,52.3,4106.84,4631.61,4999.09,5621.9,6521.61,6977.26,7775.61,8642.21,9062.25,7818.3,8245.38,8909.66,9343.33,10691.76,10743.59,10164.33,11148.2,11871.12,12634.24,13350.48,13056.7,UKR,"Population, total",SP.POP.TOTL,49176500,48662400,48202470,47812949,47451626,47105171,46787786,46509355,46258189,46053331,45870741,45706086,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44134693,Europe,EU,804,UKR,L,L,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,Europe
United Arab Emirates,43.98,48.87,49.82,50.84,50.72,40.67,50.91,72.91,69.35,58.9,55.6,,,,,,,,,,,,,,39.1,38.7,41.51,41.36,42.91,44.27,44.53,36.79,35.77,32.78,28.29,29.07,29.7,33.61,36.79,30.61,35.68,41.57,53.03,42.15,33.44,47.58,44.01,34.53,32.58,37.93,47.23,54.7,32.85,34.78,36.95,39.66,43.32,43.61,45.24,47.71,48.35,55.69,57.04,62.09,58.69,55.64,98363.57,96722.51,95550.19,99238.36,101871.33,97670.06,95678.32,87101.57,79730.96,68166.48,64881.78,67686.39,69102.48,70374.24,73619.04,64901.88,63968.89,67183.61,68576.12,69957.62,,ARE,"Population, total",SP.POP.TOTL,3134067,3302722,3478769,3711931,4068577,4588222,5300172,6168846,7089486,7917368,8549998,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400,Asia,AS,784,ARE,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Global
United Kingdom,61.24,62,67.56,68,68.48,74.24,68.82,77.35,87.38,79.89,81.3,59.2,60.6,65.3,65.9,67.4,67.33,69.66,70.79,70.13,66.1,66.79,65.92,69.8,43.78,44.86,50.96,51.85,52.61,52.79,56.12,35.74,36.85,39.54,34.72,34.25,34.61,35.4,35.74,37.6,49.28,57.93,44.76,62.5,67.27,46.88,45.52,28.77,34.04,48.1,48.93,51.57,54.67,56.39,60.38,62.7,64.87,62.09,66.51,44.33,47.95,53.38,54.16,54.26,55.82,59.85,26421.01,27730.32,28997.06,30232.97,31902.61,32592.51,34657.51,35505.39,36644.7,35043.59,36464.48,37169.55,38299.57,39931.23,41289.08,42567.59,44150,45744.71,47145.88,48513.5,44916.23,GBR,"Population, total",SP.POP.TOTL,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67215293,Europe,EU,826,GBR,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Europe
United States,54.27,54.81,55.21,55.88,56.16,63.48,56.59,67.52,84.72,71.19,69.3,33.4,39.8,46.3,46.5,48.5,53.51,52.93,52.33,54.91,51.04,25.86,18.82,18.6,43.78,44.86,50.96,51.85,52.61,52.79,56.12,35.74,36.85,39.54,34.72,34.25,34.61,35.4,35.74,37.6,49.28,57.93,44.76,62.5,67.27,46.88,45.52,28.77,34.04,48.1,48.93,51.57,54.67,56.39,60.38,62.7,64.87,62.09,66.51,44.33,47.95,53.38,54.16,54.26,55.82,59.85,36334.91,37133.24,38023.16,39496.49,41712.8,44114.75,46298.73,47975.97,48382.56,47099.98,48466.66,49882.56,51602.93,53106.54,55049.99,56863.37,58021.4,60109.66,63064.42,65279.53,63543.58,USA,"Population, total",SP.POP.TOTL,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123,North America,,840,USA,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Global
Uruguay,56.27,59.4,57.67,57,56.8,59.11,57.06,53.61,73.98,64.65,49.1,,,,,,,,,,,,,,48.88,46.46,47.26,47.86,48,47.19,51.99,55.5,55.6,58.8,57.63,56.34,55.05,62.26,55.5,42.98,47.1,52.66,33.72,56.47,63.29,45.15,41.05,31.39,34.2,42.69,40.91,46.43,39.74,33.28,34.24,36.42,35.13,33.87,32.37,60.79,59.38,55.2,50.9,52.29,49.66,55.6,10255.1,10059.79,9427.15,9686.5,10451.89,11580.39,12406.37,13547.13,14764.19,15464.26,16817.08,18002.89,18192.33,19130.06,20093.62,20217.56,22454.39,23009.87,23588.15,24006.79,22795.06,URY,"Population, total",SP.POP.TOTL,3319734,3325471,3326046,3323661,3321486,3321799,3325403,3331753,3340221,3349676,3359273,3368926,3378975,3389436,3400439,3412013,3424139,3436645,3449290,3461731,3473727,South America,SA,858,URY,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,H,H,H,H,H,H,H,H,United States
Uzbekistan,29.12,29.39,30.53,31.4,32.17,42.27,32.24,43.23,63.67,45.88,44.3,,,,,,,,,,,,,,44.69,42.97,44.63,43.3,44.57,45.03,48.36,44.3,43.98,42.19,39.81,39.51,38.62,45.32,44.3,36.43,39.42,46.93,44.91,49.16,47.49,48.99,49.7,34.16,36.13,46.98,49.68,49.2,38.52,34.93,42.59,33.99,37.76,38.26,43.2,46.74,49.79,52.83,50.66,49.88,49.42,56.6,2493.6,2621.01,2734.59,2869.68,3130.13,3412.03,3731.41,4135.34,4523.22,4842.25,5124.12,5489.08,5712.82,5942.4,6158.5,6343.15,6452.93,6518.8,6917.68,7310.96,7378.25,UZB,"Population, total",SP.POP.TOTL,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,Asia,AS,860,UZB,L,L,L,L,L,L,L,L,L,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,Global
